All,සියලුම
"Schedule Design Update","කාලසටහන සැලසුම් යාවත්කාලීන කිරීම"
StatusText,"තත්ව පෙළ"
"Product Image Watermarks","නිෂ්පාදන රූප ජල සලකුණු"
Base,පදනම
"Allowed file types: jpeg, gif, png.","අවසර ලත් ගොනු වර්ග: jpeg, gif, png."
"Image Opacity","රූප පාරාන්ධතාව"
"Example format: 200x300.","උදාහරණ ආකෘතිය: 200x300."
"Image Position","රූපයේ පිහිටීම"
"Attribute Properties","ගුණාංග ගුණාංග"
"Attribute Label","ගුණාංග ලේබලය"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","පෙළ සංස්කාරක ආදාන වර්ගය සඳහා වෙළඳසැල් > වින්‍යාස කිරීම > අන්තර්ගත කළමනාකරණය තුළ WYSIWYG සබල කිරීම අවශ්‍ය වේ."
"Catalog Input Type for Store Owner","ගබඩා හිමිකරු සඳහා නාමාවලි ආදාන වර්ගය"
Values,වටිනාකම්
"Add this attribute to the list of column options in the product grid.","නිෂ්පාදන ජාලයේ තීරු විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කරන්න."
"Add this attribute to the list of filter options in the product grid.","නිෂ්පාදන ජාලයේ පෙරහන් විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කරන්න."
"Delete selected items?","තෝරාගත් අයිතම මකන්නද?"
"Delete items","අයිතම මකන්න"
"Change status","තත්ත්වය වෙනස් කරන්න"
"Update attributes","ගුණාංග යාවත්කාලීන කරන්න"
Overview,"දළ විශ්ලේෂණය"
"Skip to the end of the images gallery","පින්තූර ගැලරියේ අවසානයට යන්න"
"Skip to the beginning of the images gallery","පින්තූර ගැලරියේ ආරම්භය වෙත යන්න"
"Recently Compared","මෑතකදී සංසන්දනය කර ඇත"
"Add To Cart","ගැලට එක් කරන්න"
"Add To Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"Learn more","තවත් හදාරන්න"
"Recently Viewed","මෑතකදී බැලුවා"
"Edit Event","සිදුවීම සංස්කරණය කරන්න"
"Add Event","සිදුවීම එක් කරන්න"
Events,සිදුවීම්
"Add Catalog Event","නාමාවලි සිදුවීම එක් කරන්න"
"Back to Category","ප්‍රවර්ගය වෙත ආපසු"
"Edit Catalog Event","නාමාවලි සිදුවීම සංස්කරණය කරන්න"
"Catalog Event Information","නාමාවලි සිදුවීම් තොරතුරු"
Upcoming,ඉදිරියට
Open,විවෘත
Closed,"වසා ඇත"
"Display Countdown Ticker On","Countdown ටිකර් ක්‍රියාත්මක කරන්න"
"Category Page","ප්රවර්ග පිටුව"
"Product Page","නිෂ්පාදන පිටුව"
"Coming Soon","ඉක්මණින් පැමිණෙන"
"Sale Ends In","විකිණීම අවසන් වේ"
"You deleted the event.","ඔබ සිදුවීම මකා ඇත."
"New Event","නව සිදුවීම"
"Something went wrong while saving this event.","මෙම සිදුවීම සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"We did not upload your image.","අපි ඔබේ රූපය උඩුගත කළේ නැත."
"You saved the event.","ඔබ සිදුවීම සුරකින ලදී."
"%1 is required.","%1 අවශ්ය වේ."
"Please make sure the end date follows the start date.","කරුණාකර අවසන් දිනය ආරම්භක දිනය අනුගමනය කරන බවට වග බලා ගන්න."
"Event for selected category","තෝරාගත් කාණ්ඩය සඳහා සිදුවීම"
"Lister Block","ලිස්ටර් බ්ලොක්"
"This product is no longer on sale.","මෙම නිෂ්පාදනය තවදුරටත් විකිණීමට නැත."
"Some of these products can no longer be sold.","මෙම නිෂ්පාදන සමහරක් තවදුරටත් අලෙවි කළ නොහැක."
"Select Category","වර්ගය තෝරන්න"
Dayclears,ඩේක්ලියර්ස්
Hrs,පැය
Mins,මිනිත්තු
Sec,තත්
"Preview Sale","පෙරදසුන් විකිණීම"
"Go To Sale","විකිණීමට යන්න"
"View Sale","විකිණීම බලන්න"
Days,දින
"Catalog Events","නාමාවලි සිදුවීම්"
"Enable Catalog Events Functionality","නාමාවලි සිදුවීම් ක්‍රියාකාරීත්වය සබල කරන්න"
"Enable Catalog Event Widget on Storefront","වෙළඳසැල් ඉදිරිපිට නාමාවලි සිදුවීම් විජට් සබල කරන්න"
"Number of Events to be Displayed in Event Slider Widget","Event Slider Widget හි ප්‍රදර්ශනය කළ යුතු සිදුවීම් ගණන"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","ඔබට මෙම පෙරනිමි අගය CMS හි limit=""x"" විචල්‍යය භාවිතයෙන් අභිබවා යා හැක. සීමාවක් නොමැතිව හිස්ව තබන්න."
"Events to Scroll per Click in Event Slider Widget","Event Slider Widget හි ක්ලික් එකකට අනුචලනය කිරීමට සිදුවීම්"
"You can override this default value in CMS using the limit=""x"" variable.","ඔබට මෙම පෙරනිමි අගය CMS හි limit=""x"" විචල්‍යය භාවිතයෙන් අභිබවා යා හැක."
"Catalog Events Carousel","කැටලොග් සිදුවීම් කැරොසල්"
"List all open Catalog Events as a Paginated Carousel","සියලුම විවෘත නාමාවලි සිදුවීම් පිටුගත කැරොසල් එකක් ලෙස ලැයිස්තුගත කරන්න"
"Frame Size","රාමුවේ ප්රමාණය"
"Number of Items to display at once","එකවර ප්‍රදර්ශනය කළ යුතු අයිතම ගණන"
Scroll,"අනුචලනය කරන්න"
"Number of Items to scroll per click","ක්ලික් කිරීමකට අනුචලනය කළ යුතු අයිතම ගණන"
"Block Custom Width","අභිරුචි පළල අවහිර කරන්න"
"If empty, we'll automatically set the width value in pixels.","හිස් නම්, අපි ස්වයංක්‍රීයව පළල අගය පික්සල වලින් සකසන්නෙමු."
"Catalog Events Carousel Default Template","කැටලොග් සිදුවීම් කැරොසල් පෙරනිමි අච්චුව"
"Category ID","ප්‍රවර්ග ID"
Start,"ආරම්භ කරන්න"
End,අවසානය
"Countdown Ticker","ගණන් කිරීමේ ටිකර්"
"Concrete type for %1 not implemented","%1 සඳහා කොන්ක්රීට් වර්ගය ක්රියාත්මක කර නැත"
"Missing key %1 in product data","නිෂ්පාදන දත්තවල යතුර %1 අස්ථානගත වී ඇත"
"""model"" value should be specified","""ආකෘතිය"" අගය සඳහන් කළ යුතුය"
"""path"" value should be specified","""මාර්ගය"" අගය සඳහන් කළ යුතුය"
"currentPage value %1 specified is greater than the number of pages available.","වත්මන් පිටු අගය %1 දක්වා ඇති පිටු ගණනට වඩා වැඩිය."
